ID,Player,Team,Position,Year,Week,Home,Atts,Comps,Comp %,Yards,Yards per Att,Yards per Comp,Ints,TDs,Two Pts,Two Pt Atts,Tgt,Rec,Rec %,Yards,Yards per Tgt,Yards per Rec,Yards after Catch,TDs,Two Pts,Carries,Yards,YPC,Yards after Catch,TDs,Two Pts,Fumbles,Fumbles Lost,Fantasy Pts,passingAttsGm,passingCmpsGm,passingCmpPerGm,passingYardsGm,passingIntsGm,passingTDsGm,passingTwoPtsGm,passingTwoPtAttsGm,yardsPerAttGm,yardsPerCmpGm,receivingTargetsGm,receivingReceptionsGm,receivingYardsGm,receivingYardsAfterCatchGm,receivingTDsGm,receivingTwoPtsGm,catchPerGm,yardsPerTarGm,yardsPerCatGm,rushingAttemptsGm,rushingYardsGm,rushingYardsAfterContactGm,rushingTDsGm,rushingTwoPtsGm,yardsPerCarryGm,fumblesGm,fumblesLostGm,fantasyPtsGmattemptsTot,completionsTot,pYardsTot,interceptionsTot,pTdsTot,pTwoPtsTot,pTwoPtAttsTot,targetsTot,receptionsTot,rYardsTot,yardsAfterCatchTot,rTdsTot,rTwoPtsTot,carriesTot,ruYardsTot,yardsAfterContactTot,ruTdsTot,ruTwoPtsTot,fumblesTot,fumblesLostTot,fantasyPtsTotal
00-0023459,Aaron Rodgers,GB,QB,2017,1,true,42,28,0.0,311,7.0,11.0,1,1,0,0,0,0,0.0,0,0.0,0.0,0,0,0,7,21,3.0,0,0,0,0,0,16.54,42.0,28.0,1.5,311.0,1.0,1.0,0.0,0.0,7.404761904761905,11.107142857142858,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,7.0,21.0,0.0,0.0,0.0,0.5,0.0,0.0,16.5442.0,28.0,311.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,16.54
00-0023500,Frank Gore,IND,RB,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,1,1,1.0,10,10.0,0.0,14,0,0,10,42,4.0,0,0,0,0,0,5.2,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,1.0,1.0,10.0,14.0,0.0,0.0,1.0,10.0,10.0,10.0,42.0,0.0,0.0,0.0,Infinity,0.0,0.0,5.20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,14.0,0.0,0.0,10.0,42.0,0.0,0.0,0.0,0.0,0.0,5.2
00-0023564,Darren Sproles,PHI,RB,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,8,5,0.0,43,5.0,0.0,43,0,0,2,2,1.0,0,0,0,0,0,4.5,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,8.0,5.0,43.0,43.0,0.0,0.0,0.625,5.375,8.6,2.0,2.0,0.0,0.0,0.0,Infinity,0.0,0.0,4.50.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,43.0,43.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.5
00-0024221,Vernon Davis,WAS,TE,2017,1,true,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0024243,Marcedes Lewis,JAX,TE,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,2,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0024334,Brandon Marshall,NYG,WR,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,4,1,0.0,10,2.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,4.0,1.0,10.0,0.0,0.0,0.0,0.25,2.5,10.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,1.00.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00-0024389,Delanie Walker,TEN,TE,2017,1,true,0,0,0.0,0,0.0,0.0,0,0,0,0,9,7,0.0,76,8.0,0.0,9,0,0,0,0,0.0,0,0,0,0,0,7.6000000000000005,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,9.0,7.0,76.0,9.0,0.0,0.0,0.7777777777777778,8.444444444444445,10.857142857142858,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,7.60000000000000050.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,76.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6000000000000005
00-0024535,Eric Weems,TEN,WR,2017,1,true,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0025394,Adrian Peterson,NO,RB,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0,0,6,18,3.0,0,0,0,0,0,1.8,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,6.0,18.0,0.0,0.0,0.0,Infinity,0.0,0.0,1.80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,1.8
00-0025396,Ted Ginn,NO,WR,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,5,4,0.0,53,10.0,0.0,13,0,0,1,5,5.0,0,0,0,0,0,5.800000000000001,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,5.0,4.0,53.0,13.0,0.0,0.0,0.8,10.6,13.25,1.0,5.0,0.0,0.0,0.0,Infinity,0.0,0.0,5.8000000000000010.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,53.0,13.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.800000000000001
